
2025/03/10 (10:23:07) | ===> btop++ v.1.4.0
2025/03/10 (10:23:07) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/10 (10:28:08) | ===> btop++ v.1.4.0
2025/03/10 (10:28:08) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/10 (10:31:19) | ===> btop++ v.1.4.0
2025/03/10 (10:31:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/10 (10:31:53) | ===> btop++ v.1.4.0
2025/03/10 (10:31:53) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/10 (10:32:46) | ===> btop++ v.1.4.0
2025/03/10 (10:32:46) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/10 (11:06:18) | ===> btop++ v.1.4.0
2025/03/10 (11:06:18) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/10 (11:14:50) | ===> btop++ v.1.4.0
2025/03/10 (11:14:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/10 (11:42:30) | ===> btop++ v.1.4.0
2025/03/10 (11:42:30) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/14 (15:01:34) | ===> btop++ v.1.4.0
2025/03/14 (15:01:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/17 (10:08:05) | ===> btop++ v.1.4.0
2025/03/17 (10:08:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/19 (13:30:58) | ===> btop++ v.1.4.0
2025/03/19 (13:30:58) | WARNING: Failed to set locale UTF-8 continuing anyway.
